Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
3/18/2022 12:26,105.916,81.197,6.188,3.28,75.73,891.8,910.5,116.9,105.5,145.9,882.9,8.76,18.8,3,0.6524931
3/18/2022 12:26,105.902,80.411,6.968,3.18562868,74.82,885.3945704,896.8,120.5,104.3,147,937.7,8.8,18.73,1,0.890450512
3/18/2022 12:27,105.944,81.471,6.864,3.22,74.81,886.9,904,120.5,106.5578166,145.6,920.2,8.59,18.71,1,0.365972438
3/18/2022 12:28,105.886,81.2,6.292,3.34,75.74,895.3,913.8,118.7,105.1,145.8,892.9,8.76,18.8,3,0.034125419
3/18/2022 12:29,105.902,81.343,6.864,3.191156919,74.83,903.1,918.2,120.5,106.7,146,920.2,8.8,18.73,1,0.614690458
3/18/2022 12:29,106.534,81.384,6.968,3.2,74.81,880,896.3,113.6,104.9,146.6,912,8.79,18.78,2,0.139221883
3/18/2022 12:30,105.902,81.058,6.864,3.190208612,74.81,908.6,918.2,120.5,106.2,147.6,920.2,8.76,18.72,1,0.481667391
3/18/2022 12:31,105.988,81.04,6.864,3.11,74.81,920.4,937.2,122,110.7,147.2,931.5,8.96,18.61,2,0.70616409
3/18/2022 12:32,106.217,81.385,6.968,3.25,74.82,913.4,928.9,118.1,104.2,146.4,910.8,8.79,18.78,2,0.583659263
3/18/2022 12:32,105.693,81.063,6.292,3.73,75.7,892.6,915.6,109.7,97.1,146,833.7,8.56,19.01,3,0.464955326
3/18/2022 12:33,105.828,81.054,6.292,3.41,75.77,894.2,915.8,116,104,146.4,867.8,8.75,18.82,4,0.775975688
3/18/2022 13:13,108.451,82.113,11.128,2.96,75.62,902.5,918.2,124.7,104.4,145.8,876.4,8.78,18.79,4,0.706206533
3/18/2022 13:14,106.047,81.423,6.084,2.86,75.65,907,922.5,120.2,105.3,146.4,919.3,8.99,18.58,4,0.349220963
3/18/2022 13:15,105.948,80.929,6.968,3.19,74.81,905.1,921,116.3,105.6,145.7,913.2,8.83,18.73,2,0.882411315
3/18/2022 13:16,106.097,82.092,10.972,3,75.63,900.3,916,115.1,102.7,146.2,885.4,8.81,18.75,3,0.088594034
3/18/2022 13:17,105.97,81.311,6.292,3.27,75.75,891.3,910.7,122,110.9,146.8,896.1,8.73,18.84,3,0.88024374
3/18/2022 13:17,106.028,81.427,6.084,2.9,75.64,908.1,922.5,111.2,104.1,145.5,908.9,8.87,18.7,3,0.665725444
3/18/2022 13:18,105.803,80.954,6.968,3.19,74.81,901.1,915.8,118.7,105.9,145.2,919.8,8.89,18.67,2,0.589539929
3/18/2022 13:19,106.154,81.489,6.188,2.86,75.62,905.3,920.1,115.4,105.7,145.2,913.7,8.92,18.65,4,0.496854414
3/18/2022 13:20,105.962,81.137,6.968,3.19,74.8,911.4,924.9,117.8,104,145.4,935.6,8.86,18.71,1,0.565870082
3/18/2022 13:21,105.449,81.471,6.864,3.19269475,74.81,886.9,896.8,118.4,106.2,146,882.3,8.84,18.73,1,0.217914089
3/18/2022 13:22,105.872,80.919,6.864,3.14,74.81,921.7,938.2,123.5,110.2,145.8,909.6,8.89,18.68,2,0.7914043
3/18/2022 13:22,106.079,81.413,6.084,2.86,75.65,904.6,921.5,122.3,105.8,145.6,900.1,8.96,18.61,4,0.84793563
3/18/2022 14:08,106.232,81.388,6.968,3.27,74.81,913.2,928.7,117.5,104.1,146.7,911.2,8.78,18.79,2,0.704761597
3/18/2022 14:09,105.959,81.219,6.292,3.28,75.72,894.6,912.9,117.8,107.2,145.1,904.6,8.81,18.76,3,0.923461047
3/18/2022 14:10,106.097,82.061,11.128,2.93,75.66,903.5,920.3,115.7,104.3,146.8,889.9,8.86,18.71,4,0.197386154
3/18/2022 14:11,116.288,81.955,11.128,3,75.62,903.3,919,112.4,101.5,145.6,885.6,8.88,18.69,4,0.665026233
3/18/2022 14:12,105.9,81.28,6.188,3.26,75.73,896.1,913.6,123.8,107.9,145.1,899.5,8.8,18.76,3,0.911807419
3/18/2022 14:13,106.322,81.45,6.968,3.29,74.84,909,926.7,115.7,104.2,146.7,904.6,8.8,18.77,2,0.059847351
3/18/2022 14:13,105.913,80.873,6.864,3.16,74.83,918.6,937.4,124.7,110,145.7,910.6,8.84,18.72,2,0.871808234
3/18/2022 14:14,106.07,82.064,11.128,2.96,75.64,901.6,917.3,120.2,104.2,145.6,882.8,8.85,18.72,4,0.347088531
